Level,Frequent_itemset,Frequent_item_set_seen_in,Yes_case_count,No_case_count,Total,Yes_percentage
1,zone=443,yes,420.0,156.8,576.8,72.816
1,zone=445,yes,352.0,156.8,508.8,69.183
1,zone=289,yes,328.0,156.8,484.8,67.657
1,zone=439,yes,271.0,156.8,427.8,63.348
1,zone=430,yes,214.0,156.8,370.8,57.713
1,zone=450,yes,190.0,156.8,346.8,54.787
1,zone=418,yes,181.0,156.8,337.8,53.582
1,zone=429,yes,171.0,156.8,327.8,52.166
1,zone=451,yes,151.0,156.8,307.8,49.058
1,zone=431,yes,149.0,156.8,305.8,48.725
1,zone=448,yes,137.0,156.8,293.8,46.631
1,zone=444,yes,136.0,156.8,292.8,46.448
1,zone=432,yes,135.0,156.8,291.8,46.265
1,zone=446,yes,133.0,156.8,289.8,45.894
1,zone_demand_popularity=POPULARITY_INDEX_3,both,1794.0,2520.0,4314.0,41.586
1,zone=452,yes,107.0,156.8,263.8,40.561
1,zone=419,yes,103.0,156.8,259.8,39.646
1,zone=433,yes,97.0,156.8,253.8,38.219
1,zone=454,yes,90.0,156.8,246.8,36.467
1,zone=399,yes,83.0,156.8,239.8,34.612
1,pickUpHourOfDay=VERYLATE,both,791.0,1539.0,2330.0,33.948
1,booking_type=12hr,both,91.0,195.0,286.0,31.818
1,zone=441,yes,73.0,156.8,229.8,31.767
1,zone=442,yes,68.0,156.8,224.8,30.249
1,estimated_usage_bins=NOT_SPECIFIED,both,306.0,707.0,1013.0,30.207
1,source=B2B Portal,yes,67.0,156.8,223.8,29.938
1,zone=428,yes,66.0,156.8,222.8,29.623
1,zone=427,yes,64.0,156.8,220.8,28.986
1,zone=447,yes,62.0,156.8,218.8,28.337
1,booking_type=8hr,both,237.0,603.0,840.0,28.214
1,estimated_usage_bins=GT_6_LTE_8_HOURS,both,303.0,782.0,1085.0,27.926
1,booking_type=one_way_trip,both,2622.0,6817.1,9439.1,27.778
1,zone=420,yes,57.0,156.8,213.8,26.661
1,source=ios,both,1991.0,5562.0,7553.0,26.360
1,zone=422,yes,56.0,156.8,212.8,26.316
1,zone_demand_popularity=POPULARITY_INDEX_5,both,710.0,2022.0,2732.0,25.988
1,pickUpHourOfDay=LATENIGHT,both,457.0,1320.0,1777.0,25.718
1,zone=438,yes,52.0,156.8,208.8,24.904
1,source=Phone,both,244.0,743.0,987.0,24.721
1,source=msite,both,201.0,615.0,816.0,24.632
1,booking_type=6hr,both,229.0,711.0,940.0,24.362
1,tripOutcome=bad,both,633.0,1975.0,2608.0,24.271
1,dayType=FRIDAY,both,729.0,2304.0,3033.0,24.036
1,estimated_usage_bins=GT_1_LTE_2_HOURS,both,808.0,2561.0,3369.0,23.983
1,sla=Scheduled,both,4603.2,14707.9,19311.1,23.837
1,dayType=NORMAL_WEEKDAY,both,2656.0,8488.6,11144.6,23.832
1,pickUpHourOfDay=EARLY,both,595.0,1914.0,2509.0,23.715
1,dayType=WEEKEND,both,1474.0,4760.0,6234.0,23.645
1,estimated_usage_bins=GT_4_LTE_6_HOURS,both,388.0,1272.0,1660.0,23.373
1,tripOutcome=good,both,4166.4,13684.6,17851.1,23.340
1,estimated_usage_bins=LTE_1_HOUR,both,1883.6,6191.3,8074.9,23.326
1,pickUpHourOfDay=NIGHT,both,605.0,2006.0,2611.0,23.171
1,zone_demand_popularity=POPULARITY_INDEX_1,both,1100.0,3670.0,4770.0,23.061
1,zone=246,no,47.9,166.0,213.9,22.401
1,estimated_usage_bins=GT_8_HOURS,both,195.0,679.0,874.0,22.311
1,zone_demand_popularity=POPULARITY_INDEX_4,both,917.0,3232.0,4149.0,22.102
1,pickUpHourOfDay=AFTERNOON,both,728.0,2596.0,3324.0,21.901
1,estimated_usage_bins=GT_2_LTE_3_HOURS,both,310.0,1110.0,1420.0,21.831
1,source=android,both,2255.6,8092.5,10348.1,21.797
1,zone=502,no,47.9,172.0,219.9,21.790
1,booking_type=4hr,both,510.0,1832.0,2342.0,21.776
1,pickUpHourOfDay=EVENING,both,742.0,2680.0,3422.0,21.683
1,zone=158,no,47.9,176.0,223.9,21.401
1,estimated_usage_bins=GT_3_LTE_4_HOURS,both,625.0,2324.0,2949.0,21.194
1,zone=508,no,47.9,181.0,228.9,20.933
1,booking_type=outstation,both,145.0,561.0,706.0,20.538
1,pickUpHourOfDay=MORNING,both,874.0,3496.0,4370.0,20.000
1,zone=510,no,47.9,192.0,239.9,19.973
1,zone=156,no,47.9,194.0,241.9,19.808
1,zone=245,no,47.9,199.0,246.9,19.407
1,zone=504,no,47.9,201.0,248.9,19.251
1,zone=249,no,47.9,209.0,256.9,18.652
1,zone=250,no,47.9,213.0,260.9,18.366
1,source=website,both,62.0,287.0,349.0,17.765
1,booking_type=round_trip,both,937.0,4430.0,5367.0,17.459
1,zone=264,no,47.9,228.0,275.9,17.367
1,zone=207,no,47.9,230.0,277.9,17.242
1,zone=511,no,47.9,238.0,285.9,16.760
1,zone=155,no,47.9,241.0,288.9,16.586
1,sla=Immediate,both,163.0,831.0,994.0,16.398
1,zone=251,no,47.9,251.0,298.9,16.031
1,zone=256,no,47.9,253.0,300.9,15.924
1,zone=220,no,47.9,275.0,322.9,14.840
1,zone=221,no,47.9,280.0,327.9,14.613
1,zone=263,no,47.9,294.0,341.9,14.015
1,zone=252,no,47.9,304.0,351.9,13.617
1,zone=262,no,47.9,305.0,352.9,13.578
1,zone=209,no,47.9,318.0,365.9,13.096
1,booking_type=2hr,no,47.9,372.0,419.9,11.412
1,zone=248,no,47.9,384.0,431.9,11.095
1,zone=141,no,47.9,529.0,576.9,8.306
1,city=Pune,no,47.9,530.0,577.9,8.292
1,zone=216,no,47.9,660.0,707.9,6.769
1,zone=217,no,47.9,686.0,733.9,6.529
1,zone_demand_popularity=POPULARITY_INDEX_2,both,271.0,4107.0,4378.0,6.190
1,zone=219,no,47.9,1093.0,1140.9,4.200
1,city=Chennai,no,47.9,1450.0,1497.9,3.199
1,city=Hyderabad,no,47.9,2509.0,2556.9,1.874
1,city=Delhi NCR,no,47.9,2560.0,2607.9,1.837
1,city=Bangalore,no,47.9,8466.4,8514.3,0.563
2,zone=443 && zone_demand_popularity=POPULARITY_INDEX_1,yes,420.0,156.8,576.8,72.816
2,sla=Scheduled && zone=443,yes,419.4,156.8,576.2,72.789
2,tripOutcome=good && zone=443,yes,381.0,156.8,537.8,70.845
2,pickUpHourOfDay=VERYLATE && zone_demand_popularity=POPULARITY_INDEX_3,yes,362.0,156.8,518.8,69.777
2,zone=445 && zone_demand_popularity=POPULARITY_INDEX_1,yes,352.0,156.8,508.8,69.183
2,sla=Scheduled && zone=445,yes,349.5,156.8,506.3,69.032
2,tripOutcome=good && zone=445,yes,342.2,156.8,499.0,68.578
2,zone=289 && zone_demand_popularity=POPULARITY_INDEX_1,yes,328.0,156.8,484.8,67.657
2,sla=Scheduled && zone=289,yes,321.6,156.8,478.4,67.221
2,sla=Scheduled && zone=439,yes,293.6,156.8,450.4,65.186
2,tripOutcome=good && zone=289,yes,285.8,156.8,442.6,64.570
2,tripOutcome=good && zone=439,yes,275.2,156.8,432.0,63.702
2,zone=439 && zone_demand_popularity=POPULARITY_INDEX_2,yes,271.0,156.8,427.8,63.348
2,booking_type=one_way_trip && zone=443,yes,248.0,156.8,404.8,61.265
2,sla=Scheduled && zone=430,yes,241.2,156.8,398.0,60.600
2,booking_type=one_way_trip && zone=445,yes,234.7,156.8,391.5,59.954
2,dayType=NORMAL_WEEKDAY && zone=443,yes,233.9,156.8,390.7,59.868
2,tripOutcome=good && zone=430,yes,222.3,156.8,379.1,58.634
2,dayType=NORMAL_WEEKDAY && zone=445,yes,215.0,156.8,371.8,57.832
2,zone=430 && zone_demand_popularity=POPULARITY_INDEX_3,yes,214.0,156.8,370.8,57.713
2,estimated_usage_bins=LTE_1_HOUR && zone=443,yes,193.5,156.8,350.3,55.236
2,zone=450 && zone_demand_popularity=POPULARITY_INDEX_3,yes,190.0,156.8,346.8,54.787
2,source=android && zone=289,yes,186.0,156.8,342.8,54.255
2,zone=418 && zone_demand_popularity=POPULARITY_INDEX_3,yes,181.0,156.8,337.8,53.582
2,source=ios && zone=443,yes,180.0,156.8,336.8,53.444
2,source=android && zone=443,yes,176.8,156.8,333.6,52.993
2,zone=429 && zone_demand_popularity=POPULARITY_INDEX_3,yes,171.0,156.8,327.8,52.166
2,sla=Scheduled && zone=450,yes,167.8,156.8,324.6,51.690
2,booking_type=one_way_trip && zone_demand_popularity=POPULARITY_INDEX_3,both,1026.1,959.8,1985.9,51.668
2,dayType=NORMAL_WEEKDAY && zone=289,yes,166.0,156.8,322.8,51.425
2,tripOutcome=good && zone=450,yes,165.8,156.8,322.6,51.397
2,booking_type=one_way_trip && zone=439,yes,164.7,156.8,321.5,51.229
2,pickUpHourOfDay=LATENIGHT && zone_demand_popularity=POPULARITY_INDEX_3,both,184.0,176.0,360.0,51.111
2,tripOutcome=good && zone=451,yes,158.8,156.8,315.6,50.310
2,source=android && zone=445,yes,158.4,156.8,315.2,50.246
2,sla=Scheduled && zone=451,yes,157.3,156.8,314.1,50.077
2,sla=Scheduled && zone=418,yes,153.8,156.8,310.6,49.516
2,booking_type=one_way_trip && zone=430,yes,153.3,156.8,310.1,49.443
2,tripOutcome=good && zone=418,yes,151.7,156.8,308.5,49.173
2,booking_type=one_way_trip && zone=418,yes,151.4,156.8,308.2,49.132
2,zone=451 && zone_demand_popularity=POPULARITY_INDEX_3,yes,151.0,156.8,307.8,49.058
2,sla=Scheduled && zone=429,yes,150.3,156.8,307.1,48.941
2,booking_type=one_way_trip && zone=429,yes,149.6,156.8,306.4,48.818
2,zone=431 && zone_demand_popularity=POPULARITY_INDEX_3,yes,149.0,156.8,305.8,48.725
2,source=ios && zone_demand_popularity=POPULARITY_INDEX_3,both,767.0,812.0,1579.0,48.575
2,estimated_usage_bins=LTE_1_HOUR && zone=445,yes,148.0,156.8,304.8,48.549
2,dayType=NORMAL_WEEKDAY && zone=439,yes,147.1,156.8,303.9,48.410
2,sla=Scheduled && zone=448,yes,146.8,156.8,303.6,48.353
2,tripOutcome=good && zone=429,yes,144.6,156.8,301.4,47.984
2,sla=Scheduled && zone=431,yes,139.8,156.8,296.6,47.136
2,zone=448 && zone_demand_popularity=POPULARITY_INDEX_3,yes,137.0,156.8,293.8,46.631
2,estimated_usage_bins=LTE_1_HOUR && zone=439,yes,136.6,156.8,293.4,46.553
2,zone=444 && zone_demand_popularity=POPULARITY_INDEX_3,yes,136.0,156.8,292.8,46.448
2,zone=432 && zone_demand_popularity=POPULARITY_INDEX_3,yes,135.0,156.8,291.8,46.265
2,tripOutcome=good && zone=448,yes,134.1,156.8,290.9,46.091
2,zone=446 && zone_demand_popularity=POPULARITY_INDEX_3,yes,133.0,156.8,289.8,45.894
2,sla=Scheduled && zone=444,yes,132.8,156.8,289.6,45.860
2,estimated_usage_bins=LTE_1_HOUR && zone_demand_popularity=POPULARITY_INDEX_3,both,734.1,874.5,1608.5,45.637
2,booking_type=one_way_trip && zone=289,yes,130.6,156.8,287.4,45.447
2,source=android && zone=439,yes,128.9,156.8,285.7,45.116
2,dayType=WEEKEND && zone_demand_popularity=POPULARITY_INDEX_3,both,586.0,721.0,1307.0,44.836
2,tripOutcome=good && zone=431,yes,127.0,156.8,283.8,44.751
2,tripOutcome=good && zone=444,yes,127.0,156.8,283.8,44.751
2,sla=Scheduled && zone=432,yes,125.8,156.8,282.6,44.521
2,dayType=FRIDAY && zone_demand_popularity=POPULARITY_INDEX_3,both,301.0,379.0,680.0,44.265
2,dayType=WEEKEND && zone=443,yes,122.0,156.8,278.8,43.759
2,source=ios && zone=439,yes,122.0,156.8,278.8,43.759
2,pickUpHourOfDay=NIGHT && zone_demand_popularity=POPULARITY_INDEX_3,both,217.0,280.0,497.0,43.662
2,source=ios && zone=445,yes,121.0,156.8,277.8,43.557
2,estimated_usage_bins=LTE_1_HOUR && zone=430,yes,119.5,156.8,276.3,43.251
2,tripOutcome=good && zone_demand_popularity=POPULARITY_INDEX_3,both,1594.6,2145.0,3739.6,42.642
2,estimated_usage_bins=GT_1_LTE_2_HOURS && pickUpHourOfDay=VERYLATE,both,119.0,161.0,280.0,42.500
2,sla=Scheduled && zone_demand_popularity=POPULARITY_INDEX_3,both,1702.2,2306.8,4009.0,42.459
2,pickUpHourOfDay=EARLY && zone_demand_popularity=POPULARITY_INDEX_3,both,249.0,338.0,587.0,42.419
