Level,Frequent_itemset,Frequent_item_set_seen_in,Yes_case_count,No_case_count,Total,Yes_percentage
1,city=Pune,both,151.0,379.0,530.0,28.491
1,zone=221,both,75.0,205.0,280.0,26.786
1,zone=220,both,67.0,208.0,275.0,24.364
1,pickUpHourOfDay=VERYLATE,both,522.0,1808.0,2330.0,22.403
1,zone=248,both,79.0,305.0,384.0,20.573
1,zone_demand_popularity=POPULARITY_INDEX_5,both,534.0,2198.0,2732.0,19.546
1,pickUpHourOfDay=LATENIGHT,both,343.0,1434.0,1777.0,19.302
1,zone=504,yes,41.0,179.4,220.4,18.601
1,zone=508,yes,40.0,179.4,219.4,18.230
1,zone=399,yes,35.0,179.4,214.4,16.323
1,dayType=WEEKEND,both,1017.0,5217.0,6234.0,16.314
1,zone=505,yes,33.0,179.4,212.4,15.535
1,booking_type=one_way_trip,both,1457.7,7981.4,9439.1,15.443
1,estimated_usage_bins=LTE_1_HOUR,both,1236.7,6838.2,8074.9,15.316
1,booking_type=2hr,both,55.0,317.0,372.0,14.785
1,zone=194,yes,31.0,179.4,210.4,14.732
1,dayType=FRIDAY,both,440.0,2593.0,3033.0,14.507
1,estimated_usage_bins=GT_1_LTE_2_HOURS,both,484.0,2885.0,3369.0,14.366
1,zone=207,both,33.0,197.0,230.0,14.348
1,zone=289,both,47.0,281.0,328.0,14.329
1,zone=250,both,30.0,183.0,213.0,14.085
1,zone_demand_popularity=POPULARITY_INDEX_4,both,582.0,3567.0,4149.0,14.027
1,zone=156,yes,29.0,179.4,208.4,13.914
1,source=android,both,1408.6,8939.5,10348.1,13.612
1,zone=418,yes,28.0,179.4,207.4,13.499
1,zone=75,yes,28.0,179.4,207.4,13.499
1,city=Mumbai,both,633.0,4159.0,4792.0,13.210
1,city=Hyderabad,both,330.0,2179.0,2509.0,13.153
1,zone=245,yes,27.0,179.4,206.4,13.080
1,city=Delhi NCR,both,330.0,2230.0,2560.0,12.891
1,sla=Scheduled,both,2488.6,16822.5,19311.1,12.887
1,zone=155,both,31.0,210.0,241.0,12.863
1,source=ios,both,952.0,6601.0,7553.0,12.604
1,pickUpHourOfDay=EVENING,both,427.0,2995.0,3422.0,12.478
1,zone_demand_popularity=POPULARITY_INDEX_2,both,546.0,3832.0,4378.0,12.471
1,estimated_usage_bins=GT_8_HOURS,both,107.0,767.0,874.0,12.243
1,zone=219,both,132.0,961.0,1093.0,12.077
1,zone=249,no,26.1,194.0,220.1,11.850
1,zone=430,no,26.1,194.0,220.1,11.850
1,pickUpHourOfDay=EARLY,both,296.0,2213.0,2509.0,11.798
1,city=Bangalore,both,987.0,7479.4,8466.4,11.658
1,booking_type=outstation,both,81.0,625.0,706.0,11.473
1,zone=264,no,26.1,203.0,229.1,11.385
1,zone=141,both,59.0,470.0,529.0,11.153
1,source=msite,both,91.0,725.0,816.0,11.152
1,zone=511,no,26.1,214.0,240.1,10.863
1,booking_type=round_trip,both,581.0,4786.0,5367.0,10.825
1,zone_demand_popularity=POPULARITY_INDEX_3,both,463.0,3851.0,4314.0,10.732
1,estimated_usage_bins=GT_3_LTE_4_HOURS,both,303.0,2646.0,2949.0,10.275
1,estimated_usage_bins=GT_6_LTE_8_HOURS,both,110.0,975.0,1085.0,10.138
1,zone_demand_popularity=POPULARITY_INDEX_1,both,483.0,4287.0,4770.0,10.126
1,zone=256,no,26.1,232.0,258.1,10.105
1,pickUpHourOfDay=MORNING,both,441.0,3929.0,4370.0,10.092
1,zone=209,both,32.0,286.0,318.0,10.063
1,dayType=NORMAL_WEEKDAY,both,1118.6,10026.0,11144.6,10.037
1,zone=251,no,26.1,234.0,260.1,10.028
1,zone=443,both,42.0,378.0,420.0,10.000
1,pickUpHourOfDay=AFTERNOON,both,327.0,2997.0,3324.0,9.838
1,city=Chennai,both,142.0,1308.0,1450.0,9.793
1,booking_type=4hr,both,229.0,2113.0,2342.0,9.778
1,pickUpHourOfDay=NIGHT,both,252.0,2359.0,2611.0,9.651
1,estimated_usage_bins=GT_2_LTE_3_HOURS,both,134.0,1286.0,1420.0,9.437
1,zone=439,no,26.1,252.0,278.1,9.379
1,booking_type=8hr,both,76.0,764.0,840.0,9.048
1,booking_type=12hr,no,26.1,266.0,292.1,8.929
1,zone=263,no,26.1,268.0,294.1,8.868
1,estimated_usage_bins=NOT_SPECIFIED,both,87.0,926.0,1013.0,8.588
1,zone=262,no,26.1,282.0,308.1,8.465
1,zone=252,no,26.1,285.0,311.1,8.384
1,estimated_usage_bins=GT_4_LTE_6_HOURS,both,139.0,1521.0,1660.0,8.373
1,source=Phone,both,81.0,906.0,987.0,8.207
1,booking_type=6hr,both,72.0,868.0,940.0,7.660
1,source=website,no,26.1,326.0,352.1,7.407
1,zone=445,no,26.1,328.0,354.1,7.366
1,zone=217,both,40.0,646.0,686.0,5.831
1,zone=216,both,28.0,632.0,660.0,4.242
1,sla=Immediate,no,26.1,987.0,1013.1,2.574
1,tripOutcome=good,no,26.1,17851.1,17877.2,0.146
2,city=Delhi NCR && pickUpHourOfDay=VERYLATE,yes,91.0,179.4,270.4,33.651
2,city=Pune && zone_demand_popularity=POPULARITY_INDEX_5,both,114.0,260.0,374.0,30.481
2,city=Pune && source=android,both,95.7,219.1,314.9,30.409
2,pickUpHourOfDay=VERYLATE && zone_demand_popularity=POPULARITY_INDEX_4,both,117.0,272.0,389.0,30.077
2,dayType=FRIDAY && pickUpHourOfDay=LATENIGHT,both,136.0,324.0,460.0,29.565
2,city=Pune && sla=Scheduled,both,146.8,356.5,503.3,29.167
2,estimated_usage_bins=GT_1_LTE_2_HOURS && pickUpHourOfDay=VERYLATE,both,79.0,201.0,280.0,28.214
2,dayType=WEEKEND && pickUpHourOfDay=VERYLATE,both,383.0,1013.0,1396.0,27.436
2,sla=Scheduled && zone=221,both,76.9,206.2,283.1,27.160
2,zone=221 && zone_demand_popularity=POPULARITY_INDEX_2,both,75.0,205.0,280.0,26.786
2,city=Bangalore && zone=221,both,78.1,213.8,291.8,26.752
2,pickUpHourOfDay=VERYLATE && zone_demand_popularity=POPULARITY_INDEX_5,yes,65.0,179.4,244.4,26.593
2,city=Pune && dayType=NORMAL_WEEKDAY,both,71.7,207.5,279.2,25.676
2,pickUpHourOfDay=LATENIGHT && zone_demand_popularity=POPULARITY_INDEX_4,both,72.0,209.0,281.0,25.623
2,city=Hyderabad && pickUpHourOfDay=LATENIGHT,both,72.0,210.0,282.0,25.532
2,pickUpHourOfDay=VERYLATE && zone_demand_popularity=POPULARITY_INDEX_2,both,84.0,248.0,332.0,25.301
2,city=Bangalore && zone=220,both,61.3,189.6,250.9,24.444
2,pickUpHourOfDay=LATENIGHT && zone_demand_popularity=POPULARITY_INDEX_5,yes,58.0,179.4,237.4,24.429
2,booking_type=one_way_trip && zone_demand_popularity=POPULARITY_INDEX_5,both,206.3,639.9,846.2,24.385
2,zone=220 && zone_demand_popularity=POPULARITY_INDEX_2,both,67.0,208.0,275.0,24.364
2,pickUpHourOfDay=VERYLATE && source=ios,both,279.0,889.0,1168.0,23.887
2,city=Delhi NCR && pickUpHourOfDay=LATENIGHT,yes,56.0,179.4,235.4,23.787
2,city=Mumbai && zone_demand_popularity=POPULARITY_INDEX_5,both,168.0,542.0,710.0,23.662
2,booking_type=one_way_trip && city=Delhi NCR,both,187.4,615.3,802.7,23.349
2,estimated_usage_bins=LTE_1_HOUR && zone_demand_popularity=POPULARITY_INDEX_5,both,168.8,555.8,724.6,23.298
2,city=Hyderabad && pickUpHourOfDay=VERYLATE,yes,54.0,179.4,233.4,23.134
2,pickUpHourOfDay=LATENIGHT && zone_demand_popularity=POPULARITY_INDEX_2,both,63.0,210.0,273.0,23.077
2,estimated_usage_bins=GT_1_LTE_2_HOURS && zone_demand_popularity=POPULARITY_INDEX_5,both,138.0,463.0,601.0,22.962
2,pickUpHourOfDay=EVENING && zone_demand_popularity=POPULARITY_INDEX_5,both,129.0,433.0,562.0,22.954
2,dayType=NORMAL_WEEKDAY && zone=221,yes,52.8,179.4,232.2,22.743
2,pickUpHourOfDay=VERYLATE && zone=219,both,75.0,256.0,331.0,22.659
2,sla=Scheduled && zone=141,both,108.4,377.5,485.8,22.302
2,booking_type=one_way_trip && zone=221,yes,51.1,179.4,230.5,22.172
2,pickUpHourOfDay=VERYLATE && zone_demand_popularity=POPULARITY_INDEX_3,both,105.0,375.0,480.0,21.875
2,source=android && zone_demand_popularity=POPULARITY_INDEX_5,both,314.9,1125.0,1439.9,21.867
2,pickUpHourOfDay=VERYLATE && sla=Scheduled,both,475.3,1719.6,2195.0,21.656
2,dayType=WEEKEND && zone=219,both,95.0,344.0,439.0,21.640
2,dayType=WEEKEND && zone_demand_popularity=POPULARITY_INDEX_5,both,176.0,641.0,817.0,21.542
2,dayType=FRIDAY && zone_demand_popularity=POPULARITY_INDEX_5,both,79.0,291.0,370.0,21.351
2,dayType=WEEKEND && pickUpHourOfDay=LATENIGHT,both,118.0,438.0,556.0,21.223
2,pickUpHourOfDay=VERYLATE && source=android,both,217.3,810.2,1027.4,21.147
2,booking_type=round_trip && city=Pune,yes,48.0,179.4,227.4,21.106
2,booking_type=one_way_trip && pickUpHourOfDay=VERYLATE,both,456.2,1713.3,2169.5,21.030
2,city=Mumbai && pickUpHourOfDay=VERYLATE,both,166.0,625.0,791.0,20.986
2,estimated_usage_bins=GT_1_LTE_2_HOURS && pickUpHourOfDay=LATENIGHT,both,48.0,181.0,229.0,20.961
2,zone=248 && zone_demand_popularity=POPULARITY_INDEX_1,both,79.0,305.0,384.0,20.573
2,city=Delhi NCR && estimated_usage_bins=LTE_1_HOUR,both,132.8,514.0,646.8,20.528
2,booking_type=one_way_trip && dayType=WEEKEND,both,607.7,2368.3,2976.0,20.420
2,city=Pune && pickUpHourOfDay=EVENING,yes,46.0,179.4,225.4,20.406
