level,frequent_itemset,count,support
1,A04,26.0,0.005200
1,A05,1.0,0.000200
1,A07,3.0,0.000600
1,A08,11.0,0.002200
1,A09,10.0,0.002000
1,A15,6.0,0.001200
1,A17,1.0,0.000200
1,A30,1.0,0.000200
1,A31,6.0,0.001200
1,A40,5.0,0.001000
1,A41,88.0,0.017600
1,A48,1.0,0.000200
1,A49,10.0,0.002000
1,A51,1.0,0.000200
1,A53,5.0,0.001000
1,A54,1.0,0.000200
1,A59,2.0,0.000400
1,A60,15.0,0.003000
1,A63,3.0,0.000600
1,A64,1.0,0.000200
1,A69,2.0,0.000400
1,A87,1.0,0.000200
1,B00,98.0,0.019600
1,B01,2.0,0.000400
1,B02,93.0,0.018600
1,B05,1.0,0.000200
1,B06,1.0,0.000200
1,B07,45.0,0.009000
1,B15,3.0,0.000600
1,B16,1.0,0.000200
1,B17,1.0,0.000200
1,B18,239.0,0.047800
1,B19,47.0,0.009400
1,B20,79.0,0.015800
1,B25,2.0,0.000400
1,B30,5.0,0.001000
1,B34,20.0,0.004000
1,B35,373.0,0.074600
1,B36,8.0,0.001600
1,B37,65.0,0.013000
1,B38,3.0,0.000600
1,B44,2.0,0.000400
1,B49,2.0,0.000400
1,B59,2.0,0.000400
1,B65,1.0,0.000200
1,B78,1.0,0.000200
1,B82,2.0,0.000400
1,B85,2.0,0.000400
1,B86,12.0,0.002400
1,B88,1.0,0.000200
1,B91,2.0,0.000400
1,B95,21.0,0.004200
1,B96,102.0,0.020400
1,B97,20.0,0.004000
1,B99,4.0,0.000800
1,C00,1.0,0.000200
1,C02,2.0,0.000400
1,C03,1.0,0.000200
1,C06,4.0,0.000800
1,C07,1.0,0.000200
1,C09,2.0,0.000400
1,C11,2.0,0.000400
1,C14,1.0,0.000200
1,C15,3.0,0.000600
1,C16,3.0,0.000600
1,C17,2.0,0.000400
1,C18,52.0,0.010400
1,C19,3.0,0.000600
1,C20,6.0,0.001200
1,C21,1.0,0.000200
1,C22,9.0,0.001800
1,C23,1.0,0.000200
1,C24,8.0,0.001600
1,C25,12.0,0.002400
1,C26,1.0,0.000200
1,C31,2.0,0.000400
1,C32,2.0,0.000400
1,C34,37.0,0.007400
1,C38,1.0,0.000200
1,C41,3.0,0.000600
1,C43,32.0,0.006400
1,C44,76.0,0.015200
1,C45,1.0,0.000200
1,C46,4.0,0.000800
1,C49,4.0,0.000800
1,C4A,2.0,0.000400
1,C50,169.0,0.033800
1,C51,1.0,0.000200
1,C52,3.0,0.000600
1,C54,18.0,0.003600
1,C55,9.0,0.001800
1,C56,8.0,0.001600
1,C61,164.0,0.032800
1,C62,2.0,0.000400
1,C64,13.0,0.002600
1,C65,1.0,0.000200
1,C66,2.0,0.000400
1,C67,24.0,0.004800
1,C68,1.0,0.000200
1,C69,1.0,0.000200
1,C70,1.0,0.000200
1,C73,11.0,0.002200
1,C76,2.0,0.000400
1,C77,10.0,0.002000
1,C78,16.0,0.003200
1,C79,45.0,0.009000
1,C7A,4.0,0.000800
1,C7B,1.0,0.000200
1,C80,11.0,0.002200
1,C81,2.0,0.000400
1,C82,2.0,0.000400
1,C83,6.0,0.001200
1,C84,2.0,0.000400
1,C85,21.0,0.004200
1,C86,1.0,0.000200
1,C88,7.0,0.001400
1,C90,21.0,0.004200
1,C91,17.0,0.003400
1,C92,6.0,0.001200
1,C93,1.0,0.000200
1,C95,5.0,0.001000
1,D01,2.0,0.000400
1,D02,2.0,0.000400
1,D03,9.0,0.001800
1,D04,5.0,0.001000
1,D05,20.0,0.004000
1,D07,2.0,0.000400
1,D10,4.0,0.000800
1,D11,2.0,0.000400
1,D12,240.0,0.048000
1,D13,9.0,0.001800
1,D14,1.0,0.000200
1,D15,1.0,0.000200
1,D16,5.0,0.001000
1,D17,30.0,0.006000
1,D18,16.0,0.003200
1,D21,3.0,0.000600
1,D22,61.0,0.012200
1,D23,23.0,0.004600
1,D24,4.0,0.000800
1,D25,18.0,0.003600
1,D26,1.0,0.000200
1,D27,2.0,0.000400
1,D29,2.0,0.000400
1,D30,3.0,0.000600
1,D31,3.0,0.000600
1,D32,32.0,0.006400
1,D33,17.0,0.003400
1,D34,2.0,0.000400
1,D35,20.0,0.004000
1,D36,18.0,0.003600
1,D37,4.0,0.000800
1,D38,1.0,0.000200
1,D39,2.0,0.000400
1,D3A,2.0,0.000400
1,D40,1.0,0.000200
1,D41,4.0,0.000800
1,D42,2.0,0.000400
1,D44,3.0,0.000600
1,D45,6.0,0.001200
1,D46,10.0,0.002000
1,D47,88.0,0.017600
1,D48,39.0,0.007800
1,D49,38.0,0.007600
1,D50,130.0,0.026000
1,D51,34.0,0.006800
1,D52,3.0,0.000600
1,D53,36.0,0.007200
1,D55,1.0,0.000200
