Level,frequent_itemset,count,support,lift,antecedent,consequent,confidence,conviction
2,B35 && E78,285.0,0.057000,1.114137,E78,B35,0.083115,1.009286
2,B35 && E78,285.0,0.057000,1.114137,B35,E78,0.764075,1.331780
2,B35 && Z00,251.0,0.050200,1.135159,Z00,B35,0.084683,1.011016
2,B35 && Z00,251.0,0.050200,1.135159,B35,Z00,0.672922,1.244964
2,B35 && Z87,256.0,0.051200,1.157381,Z87,B35,0.086341,1.012850
2,B35 && Z87,256.0,0.051200,1.157381,B35,Z87,0.686327,1.297530
2,D64 && E78,321.0,0.064200,1.076015,E78,D64,0.093613,1.007296
2,D64 && E78,321.0,0.064200,1.076015,D64,E78,0.737931,1.198921
2,D64 && I10,324.0,0.064800,1.268007,I10,D64,0.110317,1.026208
2,D64 && I10,324.0,0.064800,1.268007,D64,I10,0.744828,1.616946
2,D64 && Z86,281.0,0.056200,1.339645,Z86,D64,0.116549,1.033447
2,D64 && Z86,281.0,0.056200,1.339645,D64,Z86,0.645977,1.462617
2,D64 && Z87,315.0,0.063000,1.221143,Z87,D64,0.106239,1.021526
2,D64 && Z87,315.0,0.063000,1.221143,D64,Z87,0.724138,1.475375
2,E03 && E78,511.0,0.102200,1.087759,E78,E03,0.149023,1.014129
2,E03 && E78,511.0,0.102200,1.087759,E03,E78,0.745985,1.236937
2,E03 && I10,406.0,0.081200,1.009024,I10,E03,0.138236,1.001435
2,E03 && I10,406.0,0.081200,1.009024,E03,I10,0.592701,1.013014
2,E03 && MemberGender=F,520.0,0.104000,1.279710,MemberGender=F,E03,0.175320,1.046467
2,E03 && MemberGender=F,520.0,0.104000,1.279710,E03,MemberGender=F,0.759124,1.688836
2,E03 && Z00,420.0,0.084000,1.034310,Z00,E03,0.141700,1.005476
2,E03 && Z00,420.0,0.084000,1.034310,E03,Z00,0.613139,1.052574
2,E03 && Z68,368.0,0.073600,0.985736,Z68,E03,0.135046,0.997741
2,E03 && Z68,368.0,0.073600,0.985736,E03,Z68,0.537226,0.983202
2,E03 && Z86,389.0,0.077800,1.177692,Z86,E03,0.161344,1.029027
2,E03 && Z86,389.0,0.077800,1.177692,E03,Z86,0.567883,1.198287
2,E03 && Z87,437.0,0.087400,1.075811,Z87,E03,0.147386,1.012182
2,E03 && Z87,437.0,0.087400,1.075811,E03,Z87,0.637956,1.124173
2,E03 && ageGroup=greater_than_80,319.0,0.063800,1.369687,ageGroup=greater_than_80,E03,0.187647,1.062346
2,E03 && ageGroup=greater_than_80,319.0,0.063800,1.369687,E03,ageGroup=greater_than_80,0.465693,1.235246
2,E11 && E66,457.0,0.091400,1.251098,E66,E11,0.335044,1.101125
2,E11 && E66,457.0,0.091400,1.251098,E11,E66,0.341299,1.103992
2,E11 && E78,1134.0,0.226800,1.234909,E78,E11,0.330709,1.093993
2,E11 && E78,1134.0,0.226800,1.234909,E11,E78,0.846901,2.052262
2,E11 && I10,1017.0,0.203400,1.293024,I10,E11,0.346272,1.120037
2,E11 && I10,1017.0,0.203400,1.293024,E11,I10,0.759522,1.715750
2,E11 && I12,328.0,0.065600,1.795887,I12,E11,0.480938,1.410623
2,E11 && I12,328.0,0.065600,1.795887,E11,I12,0.244959,1.143779
2,E11 && I25,274.0,0.054800,1.491475,I25,E11,0.399417,1.219149
2,E11 && I25,274.0,0.054800,1.491475,E11,I25,0.204630,1.084779
2,E11 && I70,388.0,0.077600,1.167480,I70,E11,0.312651,1.065252
2,E11 && I70,388.0,0.077600,1.167480,E11,I70,0.289768,1.058528
2,E11 && K21,352.0,0.070400,1.170449,K21,E11,0.313446,1.066486
2,E11 && K21,352.0,0.070400,1.170449,E11,K21,0.262883,1.051936
2,E11 && MemberGender=F,761.0,0.152200,0.958083,MemberGender=F,E11,0.256575,0.984900
2,E11 && MemberGender=F,761.0,0.152200,0.958083,E11,MemberGender=F,0.568335,0.942397
2,E11 && MemberGender=M,578.0,0.115600,1.061124,MemberGender=M,E11,0.284169,1.022867
2,E11 && MemberGender=M,578.0,0.115600,1.061124,E11,MemberGender=M,0.431665,1.043751
2,E11 && N18,560.0,0.112000,1.815202,N18,E11,0.486111,1.424822
2,E11 && N18,560.0,0.112000,1.815202,E11,N18,0.418223,1.322843
2,E11 && Z00,728.0,0.145600,0.917155,Z00,E11,0.245614,0.970591
2,E11 && Z00,728.0,0.145600,0.917155,E11,Z00,0.543689,0.892374
2,E11 && Z68,730.0,0.146000,1.000336,Z68,E11,0.267890,1.000123
2,E11 && Z68,730.0,0.146000,1.000336,E11,Z68,0.545183,1.000402
2,E11 && Z79,716.0,0.143200,2.605884,Z79,E11,0.697856,2.423346
2,E11 && Z79,716.0,0.143200,2.605884,E11,Z79,0.534727,1.708246
2,E11 && Z82,351.0,0.070200,1.162981,Z82,E11,0.311446,1.063388
2,E11 && Z82,351.0,0.070200,1.162981,E11,Z82,0.262136,1.049787
2,E11 && Z83,409.0,0.081800,2.069457,Z83,E11,0.554201,1.642443
2,E11 && Z83,409.0,0.081800,2.069457,E11,Z83,0.305452,1.227273
2,E11 && Z86,665.0,0.133000,1.029945,Z86,E11,0.275819,1.011073
2,E11 && Z86,665.0,0.133000,1.029945,E11,Z86,0.496639,1.028686
2,E11 && Z87,817.0,0.163400,1.028932,Z87,E11,0.275548,1.010695
2,E11 && Z87,817.0,0.163400,1.028932,E11,Z87,0.610157,1.044010
2,E11 && ageGroup=between_70_and_75,347.0,0.069400,0.949958,ageGroup=between_70_and_75,E11,0.254399,0.982026
2,E11 && ageGroup=between_70_and_75,347.0,0.069400,0.949958,E11,ageGroup=between_70_and_75,0.259149,0.981573
2,E11 && ageGroup=between_75_and_80,279.0,0.055800,1.042865,ageGroup=between_75_and_80,E11,0.279279,1.015927
2,E11 && ageGroup=between_75_and_80,279.0,0.055800,1.042865,E11,ageGroup=between_75_and_80,0.208364,1.010819
2,E11 && ageGroup=greater_than_80,496.0,0.099200,1.089487,ageGroup=greater_than_80,E11,0.291765,1.033837
2,E11 && ageGroup=greater_than_80,496.0,0.099200,1.089487,E11,ageGroup=greater_than_80,0.370426,1.048327
2,E55 && E78,540.0,0.108000,1.054085,E78,E55,0.157480,1.009591
2,E55 && E78,540.0,0.108000,1.054085,E55,E78,0.722892,1.133852
2,E55 && I10,455.0,0.091000,1.036948,I10,E55,0.154920,1.006532
2,E55 && I10,455.0,0.091000,1.036948,E55,I10,0.609103,1.055521
2,E55 && MemberGender=F,472.0,0.094400,1.065173,MemberGender=F,E55,0.159137,1.011580
2,E55 && MemberGender=F,472.0,0.094400,1.065173,E55,MemberGender=F,0.631861,1.105017
2,E55 && MemberGender=M,275.0,0.055000,0.904964,MemberGender=M,E55,0.135202,0.983582
2,E55 && MemberGender=M,275.0,0.055000,0.904964,E55,MemberGender=M,0.368139,0.938814
2,E55 && Z00,505.0,0.101000,1.140414,Z00,E55,0.170378,1.025286
2,E55 && Z00,505.0,0.101000,1.140414,E55,Z00,0.676037,1.256936
2,E55 && Z68,465.0,0.093000,1.142183,Z68,E55,0.170642,1.025613
2,E55 && Z68,465.0,0.093000,1.142183,E55,Z68,0.622490,1.205266
2,E55 && Z86,427.0,0.085400,1.185441,Z86,E55,0.177105,1.033668
2,E55 && Z86,427.0,0.085400,1.185441,E55,Z86,0.571620,1.208739
2,E55 && Z87,502.0,0.100400,1.133257,Z87,E55,0.169309,1.023966
2,E55 && Z87,502.0,0.100400,1.133257,E55,Z87,0.672021,1.240935
2,E66 && E78,1062.0,0.212400,1.135305,E78,E66,0.309711,1.053472
2,E66 && E78,1062.0,0.212400,1.135305,E66,E78,0.778592,1.419102
2,E66 && G47,268.0,0.053600,1.325782,G47,E66,0.361673,1.139229
2,E66 && G47,268.0,0.053600,1.325782,E66,G47,0.196481,1.060087
2,E66 && I10,909.0,0.181800,1.134529,I10,E66,0.309499,1.053149
2,E66 && I10,909.0,0.181800,1.134529,E66,I10,0.666422,1.236893
2,E66 && I70,453.0,0.090600,1.338080,I70,E66,0.365028,1.145248
2,E66 && I70,453.0,0.090600,1.338080,E66,I70,0.332111,1.125637
2,E66 && K21,356.0,0.071200,1.162053,K21,E66,0.317008,1.064727
2,E66 && K21,356.0,0.071200,1.162053,E66,K21,0.260997,1.049252
2,E66 && M25,261.0,0.052200,1.191463,M25,E66,0.325031,1.077383
2,E66 && M25,261.0,0.052200,1.191463,E66,M25,0.191349,1.038025
2,E66 && M54,306.0,0.061200,1.289311,M54,E66,0.351724,1.121745
2,E66 && M54,306.0,0.061200,1.289311,E66,M54,0.224340,1.064900
2,E66 && MemberGender=F,763.0,0.152600,0.942994,MemberGender=F,E66,0.257249,0.979063
2,E66 && MemberGender=F,763.0,0.152600,0.942994,E66,MemberGender=F,0.559384,0.923253
